qseqid	sseqid	evalue	bitscore	score	pident
3_CONO_1same	sp|P60274|CA1D_CONGE	9.7	 9.2	12	66.667
16_CONO_1same	sp|P60274|CA1D_CONGE	0.045	15.4	28	27.027
20_CONO_1same	sp|P60274|CA1D_CONGE	0.86	11.9	19	50.000
26_CONO_1same	sp|P60274|CA1D_CONGE	0.001	20.0	40	38.095
26_CONO_1same	sp|P60274|CA1D_CONGE	0.28	13.5	23	31.250
28_CONO_1same	sp|P60274|CA1D_CONGE	0.061	15.0	27	38.095
30_CONO_2same	sp|P60274|CA1D_CONGE	0.18	13.9	24	40.000
39_CONO_2same	sp|P60274|CA1D_CONGE	2.8	10.8	16	28.571
43_CONO_2same	sp|P60274|CA1D_CONGE	4.6	10.0	14	66.667
45_CONO_2same	sp|P60274|CA1D_CONGE	0.29	13.5	23	41.667
48_CONO_2same	sp|P60274|CA1D_CONGE	5.5	10.0	14	50.000
49_CONO_2same	sp|P60274|CA1D_CONGE	7.5	 9.6	13	100.000
50_CONO_2same	sp|P60274|CA1D_CONGE	0.18	13.9	24	35.294
53_CONO_2same	sp|P60274|CA1D_CONGE	0.28	13.5	23	50.000
55_CONO_2same	sp|P60274|CA1D_CONGE	0.42	13.1	22	50.000
57_CONO_2same	sp|P60274|CA1D_CONGE	0.001	20.0	40	68.750
62_CONO_3same	sp|P60274|CA1D_CONGE	7.62e-04	20.4	41	60.000
64_CONO_3same	sp|P60274|CA1D_CONGE	0.12	14.2	25	80.000
70_CONO_3same	sp|P60274|CA1D_CONGE	5.1	10.0	14	66.667
73_CONO_3same	sp|P60274|CA1D_CONGE	0.091	14.6	26	54.545
75_CONO_3same	sp|P60274|CA1D_CONGE	0.18	13.9	24	25.806
76_CONO_3same	sp|P60274|CA1D_CONGE	0.008	17.7	34	29.412
76_CONO_3same	sp|P60274|CA1D_CONGE	3.7	10.4	15	19.048
80_CONO_3same	sp|P60274|CA1D_CONGE	4.82e-04	20.8	42	68.750
80_CONO_3same	sp|P60274|CA1D_CONGE	0.53	12.7	21	30.000
88_CONO_4same	sp|P60274|CA1D_CONGE	2.30e-07	29.3	64	64.706
89_CONO_4same	sp|P60274|CA1D_CONGE	0.002	18.9	37	50.000
89_CONO_4same	sp|P60274|CA1D_CONGE	0.072	15.0	27	54.545
96_CONO_4same	sp|P60274|CA1D_CONGE	0.007	17.7	34	43.243
