qseqid	sseqid	evalue	bitscore	score	pident
5_CONO_1same	sp|P60274|CA1D_CONGE	0.48	12.7	21	46.154
7_CONO_1same	sp|P60274|CA1D_CONGE	0.087	14.6	26	33.333
12_CONO_1same	sp|P60274|CA1D_CONGE	0.31	13.1	22	50.000
21_CONO_1same	sp|P60274|CA1D_CONGE	0.14	14.2	25	62.500
23_CONO_1same	sp|P60274|CA1D_CONGE	0.011	16.9	32	25.806
24_CONO_1same	sp|P60274|CA1D_CONGE	1.63e-06	26.9	58	27.083
33_CONO_2same	sp|P60274|CA1D_CONGE	0.26	13.5	23	36.842
35_CONO_2same	sp|P60274|CA1D_CONGE	0.38	13.1	22	32.143
36_CONO_2same	sp|P60274|CA1D_CONGE	0.023	16.2	30	36.000
42_CONO_2same	sp|P60274|CA1D_CONGE	0.42	12.7	21	75.000
44_CONO_2same	sp|P60274|CA1D_CONGE	4.43e-05	23.5	49	28.788
45_CONO_2same	sp|P60274|CA1D_CONGE	0.043	15.4	28	37.500
47_CONO_2same	sp|P60274|CA1D_CONGE	0.053	15.0	27	55.556
48_CONO_2same	sp|P60274|CA1D_CONGE	0.35	13.1	22	42.105
50_CONO_2same	sp|P60274|CA1D_CONGE	0.069	15.0	27	54.545
50_CONO_2same	sp|P60274|CA1D_CONGE	1.1	11.5	18	50.000
54_CONO_2same	sp|P60274|CA1D_CONGE	3.07e-06	26.6	57	34.848
60_CONO_3same	sp|P60274|CA1D_CONGE	3.07e-04	21.2	43	33.333
63_CONO_3same	sp|P60274|CA1D_CONGE	1.18e-06	27.3	59	35.385
64_CONO_3same	sp|P60274|CA1D_CONGE	1.43e-09	35.0	79	28.571
65_CONO_3same	sp|P60274|CA1D_CONGE	0.003	18.5	36	46.429
66_CONO_3same	sp|P60274|CA1D_CONGE	9.14e-07	27.7	60	53.571
67_CONO_3same	sp|P60274|CA1D_CONGE	3.95e-04	20.8	42	43.902
67_CONO_3same	sp|P60274|CA1D_CONGE	0.016	16.5	31	38.462
71_CONO_3same	sp|P60274|CA1D_CONGE	0.89	11.9	19	66.667
71_CONO_3same	sp|P60274|CA1D_CONGE	6.4	 9.6	13	100.000
74_CONO_3same	sp|P60274|CA1D_CONGE	1.47e-10	37.4	85	47.368
75_CONO_3same	sp|P60274|CA1D_CONGE	6.9	 9.6	13	40.000
78_CONO_3same	sp|P60274|CA1D_CONGE	9.30e-06	25.0	53	38.298
79_CONO_3same	sp|P60274|CA1D_CONGE	0.005	18.1	35	25.714
80_CONO_3same	sp|P60274|CA1D_CONGE	1.90e-04	21.6	44	26.471
81_CONO_3same	sp|P60274|CA1D_CONGE	1.76e-10	37.4	85	43.636
83_CONO_3same	sp|P60274|CA1D_CONGE	2.02e-05	24.3	51	33.333
85_CONO_3same	sp|P60274|CA1D_CONGE	0.001	19.6	39	52.941
88_CONO_4same	sp|P60274|CA1D_CONGE	1.90e-05	24.3	51	42.623
90_CONO_4same	sp|P60274|CA1D_CONGE	1.92e-07	29.6	65	36.364
92_CONO_4same	sp|P60274|CA1D_CONGE	2.13e-04	21.6	44	56.250
93_CONO_4same	sp|P60274|CA1D_CONGE	4.38e-04	20.8	42	35.484
97_CONO_4same	sp|P60274|CA1D_CONGE	5.59e-20	61.2	147	41.270
